id,topic1_id,topic1_score,topic2_id,topic2_score,topic3_id,topic3_score,topic4_id,topic4_score,topic5_id,topic5_score,topic6_id,topic6_score,topic7_id,topic7_score,topic8_id,topic8_score,topic9_id,topic9_score,topic10_id,topic10_score
i17e921f309,10643,0.9409547448158264,10779,0.018412847071886063,11088,0.007207687012851238,10765,0.003034246852621436,12822,0.002157461130991578,12832,0.0018958249129354954,12071,0.0012495481641963124,11390,0.0009915377013385296,12414,0.0009649531566537917,10647,0.0008695999276824296
ibcff073af9,10475,0.40576672554016113,12214,0.10018176585435867,12485,0.02854924090206623,14092,0.018242157995700836,11639,0.017621854320168495,10708,0.015901688486337662,13319,0.013791128061711788,12313,0.012850209139287472,13777,0.012179684825241566,12308,0.010157203301787376
ia56bbb5e85,10094,0.9827277064323425,12229,0.011459266766905785,10077,0.0005129866767674685,10570,0.0004855660954490304,11334,0.00034141106880269945,12267,0.00029532494954764843,10429,0.00017562338325660676,11184,0.00016731688810978085,10436,0.00015372407506220043,12547,0.00013757114356849343
i1be237f404,10636,0.5008856654167175,10130,0.07896561920642853,10008,0.07140251994132996,13131,0.03932912275195122,10072,0.03348248079419136,11466,0.028300108388066292,13412,0.016088925302028656,11935,0.0077598518691957,13416,0.006572280079126358,14207,0.0062653981149196625
i8c6ebf3aa7,11124,0.6186454892158508,11235,0.03197961300611496,11651,0.021678725257515907,10920,0.018777303397655487,10615,0.017803240567445755,10256,0.013043898157775402,11016,0.012794364243745804,11798,0.009555037133395672,12540,0.006995189003646374,14111,0.006384155247360468
i2836e3d701,10095,0.5942745208740234,10025,0.1451302319765091,11960,0.036144137382507324,11415,0.03590697422623634,12037,0.021580159664154053,11683,0.01676342636346817,13806,0.012964287772774696,13726,0.0123731829226017,12220,0.009933752939105034,14500,0.006774095352739096
i6a14cbab46,11745,0.7888416051864624,11771,0.008481282740831375,13508,0.008165253326296806,12305,0.0076577807776629925,11886,0.006898203864693642,12436,0.006155218929052353,13218,0.005476212128996849,10367,0.005267165135592222,12858,0.005118139553815126,13058,0.003830130212008953
i5b3f5fee97,11256,0.3696514368057251,14022,0.037996575236320496,13741,0.021635552868247032,14251,0.020366866141557693,13456,0.015176882036030293,10149,0.013588597066700459,12872,0.011883196420967579,13502,0.010591629892587662,14340,0.010589130222797394,14298,0.009806961752474308
i64004e5241,13283,0.9842108488082886,10241,0.0017828731797635555,11093,0.0015005354071035981,10023,0.0014479196397587657,10854,0.001078314846381545,14393,0.0005796676268801093,12308,0.0003861940058413893,10537,0.00024040388234425336,10845,0.0002276894956594333,10467,0.0002086990571115166
i7d7a1d157c,10467,0.7388904690742493,14025,0.052604034543037415,14174,0.008437665179371834,13873,0.0060163987800478935,13373,0.005069227423518896,14414,0.004457822069525719,13559,0.003954420331865549,13748,0.0038566505536437035,12124,0.0036203355994075537,13686,0.0034898752346634865
if6b1efe0d1,12947,0.09969710558652878,10235,0.06209970638155937,12088,0.04788152128458023,13401,0.04037971794605255,14043,0.029606230556964874,14242,0.019985463470220566,12021,0.013789174146950245,14313,0.013356548734009266,14374,0.013261210173368454,13788,0.013064811937510967
i83f59d834a,13490,0.1072210967540741,12911,0.06616045534610748,14044,0.05644354596734047,13132,0.05482562631368637,11755,0.04234261065721512,14405,0.028298677876591682,14296,0.0221817959100008,13663,0.021789904683828354,14461,0.020972099155187607,10969,0.01740395836532116
i88ed1b4b15,11572,0.9020236730575562,12594,0.012956736609339714,10703,0.011923165060579777,11938,0.011384153738617897,10763,0.005195915699005127,12000,0.003158025909215212,14356,0.0030591359827667475,13137,0.002171088242903352,10003,0.0017220167210325599,11729,0.001555661321617663
iea2592b136,11434,0.9571852684020996,10923,0.002334998920559883,11200,0.001307439524680376,10207,0.001194726792164147,12340,0.0009933076798915863,10412,0.0009283259860239923,14089,0.0009014203096739948,13539,0.0007521104998886585,12466,0.000721074000466615,12763,0.0007034771260805428
